file name A,file name B,esn type,number datasets,feedback,test/train,loss
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.0916895785035186
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.066165873013598
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.3219665194100425
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.8912057316431409
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.210392883302857
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.9419659975953443
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.46378929309720324
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.3595865577833823
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.2484783151414174
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.8293560803405353
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.9554166113409991
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.7735383163182303
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.1104535117162062
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.7297212118837585
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.6374324840754992
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.6180979758576373
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,0.8361531444646704
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.5122751520043184
